idUser,nameUser,snameUser,age,totalSpent,emailUser,phoneNumb,gender,fk_user_to_role,History,registerDate
1,Sara,Stroynovskaya,55,3021,fe8obp@mail.ru,3802491140,0,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",28.11.2020
2,Enriketta,Goronovich,16,6612,cxh2daw8@outlook.com,3802702648,1,3,"Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",30.10.2020
3,Kyara,Annenkova,35,2778,lrsdy5p@yandex.ru,3808212978,1,2,"Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu.",05.11.2020
4,Valentina,Vishneveczkaya,24,5972,2de17h@mail.ru,3802937875,1,2,"In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo.",03.10.2020
5,Dzheraldina,Bolkunova,86,978,we3l08z5@gmail.com,3801423931,1,3,Nullam dictum felis eu pede mollis pretium. Integer tincidunt.,11.12.2020
6,Albina,Buturlina,57,6462,i8ovxn2f@gmail.com,3800147626,0,2,"Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus.",04.11.2020
7,Marianna,Paleczkaya,53,2735,q4as80@outlook.com,3805874560,0,3,Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet.,15.12.2020
8,Leticziya,Steczkaya,65,2184,opu@outlook.com,3806364115,0,3,"Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum.",02.12.2020
9,Veronika,Kuzmina,48,5363,5iar3l8k@yandex.ru,3806865177,1,3,"Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus.",21.12.2020
10,Albina,Zubatova,76,4434,4zegxla@mail.ru,3809195450,1,3, Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt. Duis leo. Sed fringilla mauris sit amet nibh.,27.11.2020
11,Alessiya,Mikulina,24,1623,8lf0g@yandex.ru,3803839448,0,3,"Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc, quis gravida magna mi a libero.",23.11.2020
12,Virdzhiniya,Sibirskaya,44,4709,1zx8@yandex.ru,3807459602,1,2,"Fusce vulputate eleifend sapien. Vestibulum purus quam, scelerisque ut, mollis sed, nonummy id, metus. Nullam accumsan lorem in dui.",29.09.2020
13,Rossana,Ostrozhskaya,23,375,x@mail.ru,3809871642,1,3,Cras ultricies mi eu turpis hendrerit fringilla. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae;,12.12.2020
14,Gabriella,Afanasenko,92,866,34d@gmail.com,3806210719,1,2,"In ac dui quis mi consectetuer lacinia. Nam pretium turpis et arcu. Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum. Sed aliquam ultrices mauris. Integer ante arcu, accumsan a, consectetuer eget, posuere ut, mauris.",05.10.2020
15,Dzhovanna,Vasilchikova,87,3268,pxacl@mail.ru,3809314795,1,2,Praesent adipiscing. Phasellus ullamcorper ipsum rutrum nunc. Nunc nonummy metus. Vestibulum volutpat pretium libero.,12.10.2020
16,Mirella,Cherkasskaya,77,5251,7o1@gmail.com,3804040163,0,2,Cras id dui. Aenean ut eros et nisl sagittis vestibulum.,27.10.2020
17,Dzhovanna,Stoczkaya,48,2246,1@gmail.com,3805022547,1,3,"Nullam nulla eros, ultricies sit amet, nonummy id, imperdiet feugiat, pede. Sed lectus.",16.11.2020
